event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-09 15:32:27 UTC,cart,19700004,2053013559104766575,"",kabrita,37.77,539704497,""
2019-11-09 17:15:24 UTC,cart,1005083,2053013555631882655,electronics.smartphone,honor,566.27,568843390,""
2019-11-13 04:02:03 UTC,cart,4804008,2053013554658804075,electronics.audio.headphone,bluedio,97.81,570411102,""
2019-11-13 07:18:35 UTC,cart,1004767,2053013555631882655,electronics.smartphone,samsung,243.51,570878749,""
2019-11-23 12:53:50 UTC,cart,7600528,2053013552821698803,"",tp-link,16.73,575357602,""
2019-11-25 07:03:38 UTC,cart,21403753,2053013561579406073,electronics.clocks,"",181.47,576301354,""
2019-11-25 05:04:42 UTC,cart,1802104,2053013554415534427,electronics.video.tv,arg,360.09,573722572,""
2019-11-26 07:48:12 UTC,cart,4804718,2053013554658804075,electronics.audio.headphone,apple,334.58,576935861,""
2019-11-27 07:02:20 UTC,cart,12719553,2053013553559896355,"","",55.6,577167045,""
2019-11-29 17:25:56 UTC,cart,1005116,2053013555631882655,electronics.smartphone,apple,1001.42,579123407,""
2019-11-18 09:16:19 UTC,view,8900305,2053013553090134275,kids.toys,"",35.13,560165420,0000007c-adbf-4ed7-af17-d1fef9763d67
2019-11-13 06:02:54 UTC,view,1005140,2053013555631882655,electronics.smartphone,apple,1422.1,457789173,0000009d-1f5b-40b9-bd23-db4f3d973ae3
2019-11-09 13:58:06 UTC,view,1004307,2053013555631882655,electronics.smartphone,honor,308.63,569353390,000001d5-f8f8-4e40-b8d6-224155713521
2019-11-02 13:29:04 UTC,view,12300059,2053013556311359947,construction.tools.drill,bosch,69.17,513196170,00000510-834a-498a-9bed-561a90c5125e
2019-11-17 05:35:46 UTC,view,5100816,2053013553375346967,"",xiaomi,32.3,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:36:28 UTC,view,1005135,2053013555631882655,electronics.smartphone,apple,1661.15,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:36:38 UTC,view,1005116,2053013555631882655,electronics.smartphone,apple,1013.85,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:37:50 UTC,view,1005144,2053013555631882655,electronics.smartphone,apple,1661.3,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:38:20 UTC,view,1005107,2053013555631882655,electronics.smartphone,apple,1042.24,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:39:12 UTC,view,5300157,2053013563173241677,"",philips,37.56,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:39:45 UTC,view,11200402,2053013562946749253,appliances.personal.scales,elenberg,8.98,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-17 05:39:59 UTC,view,11200192,2053013562946749253,appliances.personal.scales,xiaomi,43.76,518709589,00000616-f016-4c01-b323-438486d9d3ee
2019-11-16 08:11:45 UTC,view,1801881,2053013554415534427,electronics.video.tv,samsung,558.55,572115980,000007b4-6d31-4590-b88f-0f68d1cee73c
2019-11-16 08:12:32 UTC,view,1801881,2053013554415534427,electronics.video.tv,samsung,558.55,572115980,000007b4-6d31-4590-b88f-0f68d1cee73c
2019-11-16 08:12:52 UTC,view,1801873,2053013554415534427,electronics.video.tv,kivi,411.59,572115980,000007b4-6d31-4590-b88f-0f68d1cee73c
2019-11-05 01:24:52 UTC,view,13200026,2053013557192163841,furniture.bedroom.bed,sv,100.36,517433220,00000887-930a-4311-8236-25e60c7b3ca0
2019-11-05 01:26:06 UTC,view,13200514,2053013557192163841,furniture.bedroom.bed,"",90.07,517433220,00000887-930a-4311-8236-25e60c7b3ca0
2019-11-12 06:59:21 UTC,view,28600032,2053013558282682943,"","",265.1,512810193,000008bd-6527-44c1-8823-5649e2ad3a0f
2019-11-29 07:00:40 UTC,view,12600037,2053013554751078769,appliances.kitchen.grill,redmond,87.49,569195503,00000974-cb21-4da4-8986-99b6bc60103c
2019-11-29 07:02:11 UTC,view,3500282,2053013555287949705,"",redmond,185.08,569195503,00000974-cb21-4da4-8986-99b6bc60103c
2019-11-29 07:02:58 UTC,view,3500282,2053013555287949705,"",redmond,185.08,569195503,00000974-cb21-4da4-8986-99b6bc60103c
2019-11-01 19:06:53 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,458.25,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:07:11 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,458.25,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:08:13 UTC,view,1004659,2053013555631882655,electronics.smartphone,samsung,716.76,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:09:55 UTC,view,1004659,2053013555631882655,electronics.smartphone,samsung,716.76,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:11:13 UTC,view,1004659,2053013555631882655,electronics.smartphone,samsung,716.76,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:12:49 UTC,view,1005129,2053013555631882655,electronics.smartphone,apple,1329.44,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:13:17 UTC,view,1005129,2053013555631882655,electronics.smartphone,apple,1329.44,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:14:07 UTC,view,5100855,2053013553341792533,electronics.clocks,apple,548.02,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-01 19:14:58 UTC,view,1005073,2053013555631882655,electronics.smartphone,samsung,1133.09,514001239,000009c4-a1dd-4764-87d9-24f3d7e43c4f
2019-11-19 05:27:21 UTC,view,6400290,2053013554121933129,computers.components.cpu,intel,276.84,556319585,00000a07-ec58-4934-b8f1-afd633ca66b5
2019-11-19 05:29:36 UTC,view,6400290,2053013554121933129,computers.components.cpu,intel,276.84,556319585,00000a07-ec58-4934-b8f1-afd633ca66b5
2019-11-30 18:15:47 UTC,view,1004834,2053013555631882655,electronics.smartphone,samsung,166.65,579401980,00000c2a-aada-4ee8-a0ae-1948795f4d34
2019-11-05 03:39:05 UTC,view,23000096,2164367422893589471,"","",11.04,542007466,00000cb6-8e20-47a0-8d0b-4de6b9446ada
2019-11-15 19:44:48 UTC,view,34900041,2069241409453425602,appliances.kitchen.grill,char-broil,200.62,520400207,00000f76-ca9d-4469-b7ee-bea7242efe25
2019-11-29 11:27:02 UTC,view,6500990,2053013554155487563,computers.components.motherboard,asrock,88.29,513822379,000010f3-0070-4e88-9255-d681aec2e2ec
2019-11-29 11:37:39 UTC,view,6500990,2053013554155487563,computers.components.motherboard,asrock,88.29,513822379,000010f3-0070-4e88-9255-d681aec2e2ec
2019-11-29 11:38:41 UTC,view,6500992,2053013554155487563,computers.components.motherboard,asrock,129.04,513822379,000010f3-0070-4e88-9255-d681aec2e2ec
2019-11-29 11:39:26 UTC,view,6500992,2053013554155487563,computers.components.motherboard,asrock,129.04,513822379,000010f3-0070-4e88-9255-d681aec2e2ec
2019-11-29 12:16:25 UTC,view,100015934,2053013554155487563,computers.components.motherboard,msi,142.33,513822379,000010f3-0070-4e88-9255-d681aec2e2ec
2019-11-19 15:51:37 UTC,view,28000006,2053013563483620193,"",vega,46.33,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:51:52 UTC,view,28000006,2053013563483620193,"",vega,46.33,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:52:53 UTC,view,28000208,2053013563483620193,"",vega,41.19,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:53:33 UTC,view,28000191,2053013563483620193,"",sokolov,37.45,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:54:52 UTC,view,28000208,2053013563483620193,"",vega,41.19,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:55:12 UTC,view,100000729,2053013563483620193,"",vega,28.31,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:55:32 UTC,view,28000006,2053013563483620193,"",vega,46.33,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:55:57 UTC,view,37900170,2152167773222993940,"",vega,34.05,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:56:16 UTC,view,37900142,2152167773222993940,"",vega,38.22,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:56:29 UTC,view,37900112,2152167773222993940,"",vega,35.91,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
2019-11-19 15:57:47 UTC,view,37900112,2152167773222993940,"",vega,35.91,514919750,0000134b-b2b0-4730-ba4f-f627f2b45de1
