event_type,date_time,user_id,user_session,product_id,price
view,2019-09-30T18:00:00.000-06:00,541312140,72d76fde-8bb3-4e00-8c23-a032dfed738c,44600062,35.79
view,2019-09-30T18:00:00.000-06:00,554748717,9333dfbd-b87a-4708-9857-6336556b0fcc,3900821,33.2
view,2019-09-30T18:00:01.000-06:00,519107250,566511c2-e2e3-422b-b695-cf8e6e792ca8,17200506,543.1
view,2019-09-30T18:00:01.000-06:00,550050854,7c90fc70-0e80-4590-96f3-13c02c18c713,1307067,251.74
view,2019-09-30T18:00:04.000-06:00,535871217,c6bd7419-2748-4c56-95b4-8cec9ff8b80d,1004237,1081.98
view,2019-09-30T18:00:05.000-06:00,512742880,0d0d91c2-c9c2-4e81-90a5-86594dec0db9,1480613,908.62
view,2019-09-30T18:00:08.000-06:00,555447699,4fe811e9-91de-46da-90c3-bbd87ed3a65d,17300353,380.96
view,2019-09-30T18:00:08.000-06:00,550978835,6280d577-25c8-4147-99a7-abc6048498d6,31500053,41.16
view,2019-09-30T18:00:10.000-06:00,520571932,ac1cd4e5-a3ce-4224-a2d7-ff660a105880,28719074,102.71
view,2019-09-30T18:00:11.000-06:00,537918940,406c46ed-90a4-4787-a43b-59a410c1a5fb,1004545,566.01
view,2019-09-30T18:00:11.000-06:00,555158050,b5bdd0b3-4ca2-4c55-939e-9ce44bb50abd,2900536,51.46
view,2019-09-30T18:00:11.000-06:00,530282093,50a293fb-5940-41b2-baf3-17af0e812101,1005011,900.64
view,2019-09-30T18:00:13.000-06:00,555444559,98b88fa0-d8fa-4b9d-8a71-3dd403afab85,3900746,102.38
view,2019-09-30T18:00:15.000-06:00,541312140,72d76fde-8bb3-4e00-8c23-a032dfed738c,44600062,35.79
view,2019-09-30T18:00:16.000-06:00,555446365,7f0062d8-ead0-4e0a-96f6-43a0b79a2fc4,13500240,93.18
view,2019-09-30T18:00:17.000-06:00,513642368,17566c27-0a8f-4506-9f30-c6a2ccbf583b,23100006,357.79
view,2019-09-30T18:00:18.000-06:00,537192226,e3151795-c355-4efa-acf6-e1fe1bebeee5,1801995,193.03
view,2019-09-30T18:00:18.000-06:00,519528062,901b9e3c-3f8f-4147-a442-c25d5c5ed332,10900029,58.95
view,2019-09-30T18:00:19.000-06:00,550050854,7c90fc70-0e80-4590-96f3-13c02c18c713,1306631,580.89
view,2019-09-30T18:00:19.000-06:00,535871217,c6bd7419-2748-4c56-95b4-8cec9ff8b80d,1005135,1747.79
view,2019-09-30T18:00:20.000-06:00,555446831,6ec635da-ea15-4a5d-96b4-c8ca9d38f89f,1003306,588.77
view,2019-09-30T18:00:20.000-06:00,555428858,8a6afed4-77f8-40c9-8e76-e062b28216ce,4803399,33.21
view,2019-09-30T18:00:22.000-06:00,512742880,0d0d91c2-c9c2-4e81-90a5-86594dec0db9,1480714,921.49
view,2019-09-30T18:00:23.000-06:00,519530528,9882d21f-2c5f-496b-90d4-a1503edb6562,1004739,197.55
view,2019-09-30T18:00:23.000-06:00,538645907,7d9a8784-7b6c-426e-9924-9f688812fd71,6200260,47.62
view,2019-09-30T18:00:24.000-06:00,555446831,6ec635da-ea15-4a5d-96b4-c8ca9d38f89f,1003306,588.77
view,2019-09-30T18:00:24.000-06:00,539512263,f27a45f8-fb98-459a-96a6-45271f56a987,34700031,151.87
view,2019-09-30T18:00:25.000-06:00,554748717,5459fbe4-2aa5-42b9-9064-05f853218fe0,3900990,122.18
view,2019-09-30T18:00:25.000-06:00,555217733,74d40a28-41f9-4325-bbae-b179bd2c0a38,27500014,37.98
view,2019-09-30T18:00:25.000-06:00,525734504,83f584ed-c7f7-442e-8ae9-713cb27fdece,19001139,67.58
view,2019-09-30T18:00:26.000-06:00,520571932,ac1cd4e5-a3ce-4224-a2d7-ff660a105880,28719071,102.71
view,2019-09-30T18:00:26.000-06:00,555446365,7f0062d8-ead0-4e0a-96f6-43a0b79a2fc4,13500046,60.75
view,2019-09-30T18:00:27.000-06:00,550978835,6280d577-25c8-4147-99a7-abc6048498d6,31501072,165.64
